Rank,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1.0,Mikal Bridges,28.0,NYK,SF,43.0,43.0,1675.0,13.4,0.578,0.46,0.076,2.8,6.4,4.7,11.4,1.2,1.2,8.6,19.0,2.0,0.9,2.8,0.081,0.4,-1.5,-1.1,0.4,
2.0,Josh Hart,29.0,NYK,SG,42.0,42.0,1587.0,17.7,0.657,0.364,0.294,6.7,21.9,14.5,19.3,2.0,0.9,15.3,14.7,4.0,1.9,5.9,0.179,2.1,1.3,3.4,2.2,
3.0,OG Anunoby,27.0,NYK,PF,43.0,43.0,1575.0,13.6,0.577,0.456,0.184,4.0,10.7,7.5,7.3,1.8,2.3,9.3,18.3,1.6,1.4,3.0,0.092,-0.4,-0.6,-1.1,0.4,
4.0,Anthony Edwards,23.0,MIN,SG,42.0,42.0,1542.0,18.5,0.586,0.489,0.227,2.2,15.0,8.8,20.3,1.6,1.4,13.0,30.6,1.6,2.0,3.6,0.111,3.3,-0.3,3.0,1.9,
5.0,Jalen Brunson,28.0,NYK,PG,42.0,42.0,1478.0,22.4,0.604,0.326,0.383,1.5,8.1,4.9,32.7,1.2,0.1,10.1,29.7,5.2,0.7,5.9,0.192,4.9,-2.0,2.9,1.8,
6.0,De'Aaron Fox,27.0,SAC,PG,39.0,39.0,1450.0,19.9,0.575,0.316,0.292,3.3,12.1,7.7,26.7,2.1,1.2,12.6,29.6,2.2,1.5,3.7,0.123,2.5,-0.7,1.9,1.4,
7.0,Tyrese Haliburton,24.0,IND,PG,42.0,42.0,1449.0,19.5,0.586,0.577,0.232,2.1,9.5,5.9,35.7,1.7,1.6,10.9,21.5,3.9,1.0,4.9,0.161,4.4,-0.6,3.7,2.1,
8.0,Tyler Herro,25.0,MIA,SG,41.0,41.0,1448.0,19.9,0.626,0.55,0.229,1.0,16.3,8.8,24.5,1.0,0.3,11.0,27.0,3.1,1.4,4.4,0.147,4.4,-0.9,3.6,2.0,
9.0,Pascal Siakam,30.0,IND,PF,43.0,43.0,1432.0,19.6,0.608,0.29,0.258,5.9,18.6,12.4,15.4,1.3,0.9,6.9,23.2,3.5,1.2,4.6,0.155,2.7,-0.6,2.1,1.5,
10.0,Jayson Tatum,26.0,BOS,PF,39.0,39.0,1424.0,23.0,0.596,0.508,0.341,1.9,25.7,13.7,24.5,1.8,1.2,10.7,30.8,3.5,2.3,5.8,0.195,5.1,1.1,6.2,2.9,
11.0,Michael Porter Jr.,26.0,DEN,SF,42.0,42.0,1407.0,16.5,0.627,0.466,0.196,5.1,15.7,10.7,9.8,0.9,1.2,8.5,20.1,2.7,1.1,3.7,0.127,2.0,-1.4,0.6,0.9,
12.0,Domantas Sabonis,28.0,SAC,C,39.0,39.0,1403.0,24.1,0.674,0.176,0.308,11.9,31.8,21.8,26.4,0.9,1.3,16.1,21.8,4.9,1.8,6.7,0.23,4.9,1.3,6.2,2.9,
13.0,Shai Gilgeous-Alexander,26.0,OKC,PG,41.0,41.0,1399.0,30.8,0.644,0.273,0.385,2.6,13.9,8.3,30.9,2.9,3.3,9.9,34.0,6.0,3.2,9.2,0.316,8.4,3.6,12.0,5.0,
14.0,Rudy Gobert,32.0,MIN,C,42.0,42.0,1397.0,15.8,0.669,0.0,0.541,11.4,23.0,17.4,7.3,0.9,4.1,15.1,11.8,2.8,2.2,5.0,0.171,-0.6,1.0,0.4,0.8,
15.0,Keegan Murray,24.0,SAC,PF,39.0,39.0,1387.0,10.6,0.524,0.53,0.099,6.6,16.0,11.3,5.1,1.0,2.3,7.2,14.6,0.8,1.3,2.1,0.073,-1.7,-0.9,-2.6,-0.2,
16.0,Julius Randle,30.0,MIN,PF,42.0,42.0,1386.0,17.4,0.59,0.329,0.38,7.2,16.9,12.2,22.1,0.9,0.5,15.5,25.7,2.2,1.5,3.7,0.129,1.3,-0.5,0.8,1.0,
17.0,Bennedict Mathurin,22.0,IND,SG,42.0,37.0,1368.0,12.6,0.575,0.338,0.329,4.4,16.2,10.4,8.4,1.0,1.0,13.0,21.7,0.5,0.9,1.5,0.051,-1.8,-1.7,-3.5,-0.5,
18.0,Trae Young,26.0,ATL,PG,38.0,38.0,1362.0,18.9,0.564,0.492,0.409,1.5,8.9,5.1,48.0,1.7,0.6,17.4,28.3,2.6,0.8,3.3,0.117,3.4,-2.1,1.3,1.1,
19.0,Nikola Vučević,34.0,CHI,C,42.0,42.0,1356.0,21.9,0.641,0.312,0.146,7.8,25.5,16.8,16.4,1.2,1.7,8.8,22.6,3.6,1.3,4.9,0.174,3.5,-0.3,3.2,1.8,
20.0,Derrick White,30.0,BOS,SG,40.0,40.0,1355.0,15.8,0.589,0.702,0.16,2.9,11.0,6.9,17.6,1.3,3.3,10.7,19.6,2.3,1.7,4.0,0.14,2.2,0.5,2.6,1.6,
21.0,Fred VanVleet,30.0,HOU,PG,38.0,38.0,1354.0,14.0,0.513,0.567,0.178,2.0,10.2,6.0,23.2,2.3,1.3,9.4,18.4,1.8,2.0,3.8,0.136,0.2,1.4,1.6,1.2,
22.0,Cade Cunningham,23.0,DET,PG,38.0,38.0,1353.0,19.2,0.546,0.321,0.226,2.9,17.4,10.1,43.8,1.3,2.2,16.5,31.9,1.3,1.3,2.6,0.094,3.1,-0.3,2.8,1.6,
23.0,Bam Adebayo,27.0,MIA,C,40.0,40.0,1351.0,17.2,0.52,0.189,0.302,7.7,23.3,15.7,21.3,2.2,2.2,12.2,22.5,0.9,2.2,3.1,0.111,-0.4,1.2,0.7,0.9,
24.0,Christian Braun,23.0,DEN,SG,41.0,41.0,1351.0,14.3,0.649,0.265,0.271,4.3,11.2,7.9,7.7,1.5,1.6,8.8,14.9,2.5,1.1,3.6,0.128,-0.2,-0.4,-0.6,0.5,
25.0,Jalen Green,22.0,HOU,SG,41.0,41.0,1347.0,16.2,0.567,0.465,0.241,1.8,12.6,7.1,12.5,1.4,1.0,11.2,26.8,1.6,1.8,3.4,0.122,1.8,-0.3,1.5,1.2,
26.0,Jalen Williams,23.0,OKC,SG,41.0,41.0,1329.0,19.4,0.556,0.295,0.219,2.7,15.8,9.3,24.3,2.6,2.3,11.2,27.5,1.5,3.0,4.4,0.16,1.8,2.0,3.8,2.0,
27.0,Devin Booker,28.0,PHO,SG,36.0,36.0,1328.0,20.8,0.586,0.417,0.382,3.3,8.5,5.9,29.5,1.6,0.7,9.8,29.2,3.5,0.5,4.0,0.144,3.6,-1.9,1.7,1.2,
28.0,DeMar DeRozan,35.0,SAC,SF,37.0,37.0,1322.0,17.2,0.563,0.153,0.323,1.7,10.2,5.9,16.2,1.7,1.1,7.1,24.6,2.2,1.1,3.3,0.119,0.1,-0.6,-0.5,0.5,
29.0,Karl-Anthony Towns,29.0,NYK,C,38.0,38.0,1318.0,26.6,0.664,0.296,0.371,10.2,35.3,23.1,14.9,1.4,2.2,12.1,27.5,4.7,2.0,6.7,0.245,5.3,0.2,5.6,2.5,
30.0,Nikola Jokić,29.0,DEN,C,36.0,36.0,1317.0,32.8,0.648,0.214,0.316,10.6,28.1,19.7,43.9,2.4,1.5,11.7,30.4,6.7,2.1,8.8,0.32,10.6,3.3,13.9,5.3,
31.0,Brook Lopez,36.0,MIL,C,41.0,41.0,1309.0,13.9,0.606,0.532,0.149,3.8,12.4,8.2,7.5,1.2,5.7,9.4,15.3,1.4,1.7,3.2,0.116,-0.2,0.8,0.6,0.9,
32.0,James Harden,35.0,LAC,PG,39.0,39.0,1307.0,18.7,0.57,0.515,0.429,2.0,17.1,9.6,37.1,2.1,1.8,19.6,30.1,1.1,2.2,3.3,0.12,2.6,0.9,3.5,1.8,
33.0,Ivica Zubac,27.0,LAC,C,41.0,41.0,1306.0,21.0,0.617,0.0,0.264,13.4,30.6,22.1,12.8,1.0,3.9,12.8,18.9,2.7,2.6,5.3,0.194,1.5,1.0,2.5,1.5,
34.0,Coby White,24.0,CHI,SG,40.0,40.0,1305.0,13.9,0.582,0.579,0.223,1.1,9.6,5.4,20.1,1.5,0.5,13.3,23.1,1.0,0.6,1.7,0.061,-0.4,-1.6,-2.0,0.0,
35.0,Anthony Davis,31.0,LAL,C,37.0,37.0,1294.0,26.5,0.597,0.128,0.44,8.8,29.5,19.2,17.2,1.8,5.7,9.6,29.9,3.2,1.9,5.1,0.189,4.1,0.9,5.1,2.3,
36.0,Zach LaVine,29.0,CHI,SF,38.0,38.0,1293.0,18.5,0.637,0.417,0.23,0.9,13.8,7.4,21.0,1.3,0.7,13.7,26.5,1.9,0.7,2.6,0.098,2.5,-1.4,1.2,1.0,
37.0,LeBron James,40.0,LAL,SF,37.0,37.0,1293.0,22.6,0.605,0.319,0.238,3.0,21.1,12.1,43.8,1.2,1.6,16.1,29.6,2.6,1.0,3.5,0.132,5.2,0.1,5.3,2.4,
38.0,Jamal Murray,27.0,DEN,PG,36.0,36.0,1291.0,16.6,0.562,0.353,0.222,1.7,9.9,6.0,23.2,2.0,1.5,11.2,23.7,1.7,1.1,2.8,0.106,0.8,-0.6,0.2,0.7,
39.0,Tobias Harris,32.0,DET,PF,40.0,40.0,1290.0,13.5,0.554,0.365,0.195,3.5,18.5,11.0,11.0,1.2,2.5,8.8,17.6,1.3,1.3,2.6,0.096,-0.7,0.2,-0.4,0.5,
40.0,Alperen Şengün,22.0,HOU,C,41.0,41.0,1287.0,22.7,0.54,0.093,0.317,11.3,24.5,17.7,25.9,2.1,2.6,12.3,26.8,2.4,2.6,5.0,0.187,3.5,2.2,5.7,2.5,
41.0,Tyrese Maxey,24.0,PHI,PG,34.0,34.0,1286.0,19.5,0.55,0.448,0.273,0.8,10.5,5.4,27.9,2.6,1.0,9.2,30.9,1.6,1.1,2.8,0.103,3.0,-0.7,2.3,1.4,
42.0,Toumani Camara,24.0,POR,PF,41.0,41.0,1280.0,10.6,0.528,0.513,0.168,7.5,11.6,9.5,8.9,2.2,1.7,13.9,14.1,0.5,0.7,1.2,0.044,-2.2,-0.2,-2.4,-0.1,
43.0,Jaden McDaniels,24.0,MIN,PF,42.0,42.0,1277.0,11.3,0.54,0.425,0.121,5.5,12.1,8.9,7.5,2.2,2.4,9.7,14.9,0.7,1.8,2.5,0.093,-2.3,1.3,-1.0,0.3,
44.0,Kelly Oubre Jr.,29.0,PHI,SF,38.0,35.0,1275.0,12.9,0.543,0.38,0.238,5.2,15.8,10.2,7.7,2.1,1.5,9.1,18.2,0.7,1.2,1.9,0.071,-1.7,-0.3,-2.0,0.0,
45.0,Kentavious Caldwell-Pope,31.0,ORL,SG,42.0,42.0,1273.0,9.9,0.547,0.636,0.17,1.2,6.6,3.7,9.8,2.6,1.9,9.8,13.2,0.5,1.9,2.4,0.092,-3.2,2.0,-1.2,0.3,
46.0,Jaylen Brown,28.0,BOS,SF,35.0,35.0,1250.0,17.9,0.544,0.334,0.294,4.7,13.8,9.2,22.0,1.8,0.7,11.6,29.3,1.3,1.5,2.9,0.11,0.7,-0.7,0.0,0.6,
47.0,Myles Turner,28.0,IND,C,40.0,40.0,1247.0,15.6,0.607,0.444,0.26,5.2,19.9,12.7,6.9,1.3,5.9,13.6,20.5,0.7,1.5,2.3,0.087,-0.6,0.2,-0.4,0.5,
48.0,Dyson Daniels,21.0,ATL,SG,37.0,37.0,1243.0,13.9,0.515,0.308,0.117,5.1,10.8,7.9,14.8,4.2,2.3,12.4,17.8,0.1,1.7,1.8,0.071,-2.2,2.5,0.3,0.7,
49.0,Bilal Coulibaly,20.0,WAS,SF,37.0,37.0,1236.0,10.6,0.512,0.357,0.302,4.4,11.5,7.9,14.6,1.8,2.0,15.3,17.4,-0.3,0.3,0.0,0.0,-2.9,-0.9,-3.8,-0.6,
50.0,Carlton Carrington,19.0,WAS,PG,41.0,32.0,1230.0,8.5,0.519,0.55,0.112,1.1,13.7,7.3,18.4,1.1,0.7,15.1,14.1,0.0,0.1,0.0,0.001,-3.6,-1.2,-4.8,-0.9,
51.0,Damian Lillard,34.0,MIL,PG,34.0,34.0,1228.0,21.6,0.623,0.516,0.388,1.6,11.1,6.6,30.1,1.7,0.5,12.6,27.7,3.5,1.3,4.8,0.187,4.5,-0.7,3.8,1.8,
52.0,Giannis Antetokounmpo,30.0,MIL,PF,35.0,35.0,1221.0,30.0,0.618,0.036,0.517,7.1,29.3,18.6,34.0,1.1,3.7,12.2,36.3,3.6,2.1,5.6,0.222,6.0,2.2,8.3,3.2,
53.0,Dennis Schröder,31.0,2TM,SG,39.0,39.0,1221.0,12.9,0.542,0.453,0.224,1.0,8.7,4.7,29.3,1.6,0.5,14.3,22.8,0.8,0.7,1.4,0.056,-1.2,-1.5,-2.7,-0.2,
53.0,Dennis Schröder,31.0,BRK,PG,23.0,23.0,772.0,16.2,0.588,0.462,0.249,0.6,10.1,5.2,33.2,1.7,0.5,14.1,23.9,1.2,0.3,1.5,0.094,1.2,-1.3,-0.2,0.4,
53.0,Dennis Schröder,31.0,GSW,SG,16.0,16.0,449.0,7.2,0.456,0.438,0.176,1.6,6.3,3.9,22.5,1.4,0.4,14.8,20.8,-0.4,0.3,-0.1,-0.009,-5.3,-1.7,-7.0,-0.6,
54.0,Austin Reaves,26.0,LAL,SG,35.0,35.0,1220.0,16.1,0.587,0.513,0.297,2.8,10.9,6.9,25.9,1.5,0.4,13.7,23.0,1.8,0.5,2.3,0.092,1.3,-1.3,0.0,0.6,
55.0,Donovan Mitchell,28.0,CLE,SG,39.0,39.0,1216.0,20.2,0.579,0.502,0.21,2.2,13.5,8.0,21.5,2.2,0.6,9.2,30.2,2.2,1.5,3.7,0.145,3.2,-0.3,2.8,1.5,
56.0,Dillon Brooks,29.0,HOU,SF,38.0,38.0,1216.0,10.4,0.53,0.518,0.134,4.1,9.0,6.5,7.3,1.3,0.8,7.4,17.3,1.1,1.4,2.6,0.101,-1.7,-0.1,-1.8,0.1,
57.0,Anfernee Simons,25.0,POR,SG,38.0,38.0,1213.0,14.1,0.548,0.522,0.159,1.0,8.4,4.6,24.6,1.4,0.2,12.1,24.5,1.1,0.1,1.2,0.048,0.7,-2.4,-1.6,0.1,
58.0,Darius Garland,25.0,CLE,PG,40.0,40.0,1208.0,21.8,0.636,0.456,0.231,1.9,7.2,4.6,32.9,1.7,0.7,12.6,27.1,4.0,1.1,5.1,0.201,5.0,-1.0,4.0,1.9,
59.0,Tyus Jones,28.0,PHO,PG,40.0,40.0,1205.0,15.1,0.603,0.543,0.1,2.2,6.9,4.6,29.4,1.6,0.4,12.2,15.6,2.6,0.3,2.9,0.115,1.5,-1.3,0.1,0.6,
60.0,Jalen Johnson,23.0,ATL,SF,33.0,33.0,1201.0,17.9,0.58,0.266,0.237,5.2,25.2,15.0,21.4,1.9,2.7,15.2,22.4,1.1,1.5,2.6,0.102,0.8,1.2,1.9,1.2,
61.0,Chris Paul,39.0,SAS,PG,41.0,41.0,1196.0,16.1,0.58,0.631,0.196,1.8,13.4,7.7,38.8,2.2,0.7,16.5,14.5,2.6,1.2,3.8,0.152,0.7,0.9,1.7,1.1,
62.0,Luguentz Dort,25.0,OKC,SF,41.0,41.0,1194.0,11.4,0.573,0.676,0.109,5.0,10.6,7.9,7.3,1.8,2.4,8.0,13.9,1.3,2.2,3.5,0.139,-0.9,1.1,0.2,0.7,
63.0,Victor Wembanyama,21.0,SAS,C,36.0,36.0,1193.0,24.3,0.592,0.482,0.209,5.8,28.3,17.2,19.6,1.6,10.7,14.3,31.1,0.8,2.5,3.2,0.13,3.7,3.3,7.0,2.7,
64.0,Jarrett Allen,26.0,CLE,C,41.0,41.0,1185.0,22.6,0.73,0.003,0.429,9.9,27.5,18.9,9.0,1.6,2.9,9.6,15.9,4.3,2.0,6.2,0.252,3.2,0.9,4.0,1.8,
65.0,Malik Beasley,28.0,DET,SG,42.0,11.0,1180.0,14.2,0.572,0.69,0.121,2.2,9.6,5.9,9.9,1.5,0.2,7.2,23.0,1.2,0.8,2.0,0.083,1.3,-1.4,-0.1,0.6,
66.0,Jakob Poeltl,29.0,TOR,C,37.0,36.0,1176.0,19.2,0.624,0.005,0.276,12.7,24.0,18.3,12.5,1.8,3.7,14.4,18.3,2.0,1.1,3.2,0.129,0.3,0.3,0.6,0.8,
67.0,Jaren Jackson Jr.,25.0,MEM,C,40.0,40.0,1171.0,20.9,0.587,0.311,0.332,5.4,16.8,11.2,11.0,2.3,5.2,10.5,29.1,1.8,2.1,4.0,0.162,1.7,1.2,3.0,1.5,
68.0,Payton Pritchard,27.0,BOS,PG,42.0,0.0,1167.0,18.1,0.644,0.748,0.122,5.4,8.6,7.0,17.5,1.5,0.4,8.3,19.2,3.5,1.1,4.6,0.191,3.7,-0.2,3.5,1.6,
69.0,Harrison Barnes,32.0,SAS,PF,41.0,41.0,1154.0,13.0,0.623,0.468,0.364,5.4,8.9,7.2,8.6,0.5,0.5,6.1,14.5,2.3,0.4,2.7,0.114,0.5,-1.5,-1.1,0.3,
70.0,Evan Mobley,23.0,CLE,PF,38.0,38.0,1147.0,22.5,0.653,0.226,0.328,7.6,24.0,16.0,13.8,1.5,4.2,12.5,23.1,3.0,1.9,4.9,0.204,2.9,1.2,4.1,1.8,
71.0,Russell Westbrook,36.0,DEN,PG,42.0,21.0,1146.0,16.3,0.545,0.345,0.306,5.6,14.1,10.0,32.1,2.7,1.8,19.5,23.1,0.8,1.4,2.2,0.091,0.3,0.6,0.9,0.8,
72.0,RJ Barrett,24.0,TOR,SG,34.0,34.0,1144.0,16.9,0.546,0.309,0.321,3.3,18.6,10.9,28.8,1.1,1.1,13.6,29.6,0.6,0.5,1.1,0.046,1.4,-1.3,0.1,0.6,
73.0,P.J. Washington,26.0,DAL,PF,35.0,34.0,1138.0,13.2,0.539,0.379,0.268,4.8,20.6,12.9,9.3,1.9,2.7,12.7,18.3,0.3,1.6,1.9,0.081,-1.2,0.8,-0.4,0.4,
74.0,Kyrie Irving,32.0,DAL,SG,32.0,32.0,1137.0,19.9,0.6,0.379,0.2,3.2,10.5,6.9,21.6,1.7,0.9,10.1,26.6,2.5,1.0,3.5,0.148,4.0,-0.3,3.7,1.7,
75.0,Rui Hachimura,26.0,LAL,PF,35.0,35.0,1131.0,13.0,0.599,0.385,0.203,5.9,12.5,9.2,6.8,1.3,1.5,8.9,15.4,1.4,0.6,2.0,0.084,-0.7,-1.1,-1.7,0.1,
76.0,Cason Wallace,21.0,OKC,SG,41.0,28.0,1131.0,11.8,0.533,0.444,0.065,4.2,9.2,6.7,11.5,3.0,2.3,8.6,11.9,1.0,2.3,3.3,0.14,-1.8,2.9,1.1,0.9,
77.0,Ochai Agbaji,24.0,TOR,SG,39.0,33.0,1127.0,11.8,0.608,0.468,0.085,3.5,11.0,7.2,8.3,1.3,1.8,8.1,13.8,1.3,0.3,1.6,0.069,-0.5,-0.5,-1.0,0.3,
78.0,Jalen Wilson,24.0,BRK,PF,42.0,9.0,1127.0,8.2,0.521,0.548,0.208,4.3,10.5,7.3,9.6,0.9,0.2,10.8,16.3,0.1,0.3,0.4,0.018,-3.2,-1.8,-5.0,-0.8,
79.0,Collin Sexton,26.0,UTA,SG,39.0,37.0,1126.0,16.6,0.6,0.334,0.266,3.7,7.0,5.4,23.0,1.2,0.3,14.0,25.9,1.9,0.0,1.9,0.081,1.4,-2.4,-0.9,0.3,
80.0,Amen Thompson,22.0,HOU,SF,38.0,11.0,1125.0,18.0,0.611,0.144,0.428,9.2,19.0,14.0,11.6,2.1,3.6,15.4,17.1,1.9,2.1,4.0,0.17,0.7,2.0,2.8,1.3,
81.0,Kevin Durant,36.0,PHO,PF,31.0,31.0,1123.0,21.8,0.626,0.302,0.354,1.4,17.7,9.8,20.5,1.1,3.5,12.7,30.6,1.9,0.8,2.7,0.114,3.5,-0.7,2.9,1.4,
82.0,Norman Powell,31.0,LAC,SG,34.0,34.0,1112.0,19.5,0.636,0.477,0.273,1.1,10.6,5.9,11.7,2.0,0.4,10.1,27.3,2.2,1.5,3.7,0.16,3.4,0.1,3.5,1.6,
83.0,Yves Missi,20.0,NOP,C,41.0,35.0,1111.0,16.0,0.593,0.004,0.45,13.8,19.0,16.3,7.6,1.0,5.0,13.5,13.7,1.8,0.7,2.4,0.105,-1.6,-1.1,-2.7,-0.2,
